text,intent
"Can you create a schedule of important milestones for real the estate transaction? On top of that, identify any unfavorable terms that could affect our liability exposure.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"I require to see all modifications made from loi to final execution. additionally, what modifications were made in the latest lease amendment?",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
"Analyze these three listings for the best investment Plus, value. research the landlord's company - any litigation or financial issues?",Intent_Sales_Listings_Comparison;Intent_Company_research
Can you create a schedule of important milestones real for the estate transaction?,Intent_Transaction_Date_navigator
"Compare the signed lease to the month. LOI we submitted last I want to know what terms got changed or added, especially around TI allowances.",Intent_Comparison_LOI_Lease
Require opportunities. a side-by-side comparison of these investment,Intent_Sales_Listings_Comparison
Compare available office spaces - rates and terms analysis. lease,Intent_Lease_Listings_Comparison
"Assist me organize all the transaction dates for the retail space deal in downtown. additionally, verify if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Review if there are any red company. flags about this real estate,Intent_Company_research
Compare the lease to listings we received for Midtown West. Looking identify which has the most favorable terms per sq ft.,Intent_Lease_Listings_Comparison
Please extract all deadline dates from the purchase agreement we - need to track every step.,Intent_Transaction_Date_navigator
Compare the amendment against lease the base to show differences.,Intent_Amendment_Abstraction
"Compare the negotiated lease with our original letter of intent. Moreover, what modifications were made in the lease latest amendment?",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
Display me the best terms among these lease available spaces.,Intent_Lease_Listings_Comparison
"Hi team, Can you pull together a schedule of important dates for the escrow process on the 125 King St deal? We're especially concerned with closing and diligence due periods. Thanks!",Intent_Transaction_Date_navigator
"Must have a timeline for all key dates in the property closing - escrow, inspections, and final walkthrough. in addition, identify any unfavorable terms that could affect our liability exposure.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Must have a complete abstract of the office lease on focusing term and rent details.,Intent_Lease_Abstraction
"Provide me the best lease terms among these available spaces. additionally, must have due diligence on the tenant's corporate background and stability.",Intent_Lease_Listings_Comparison;Intent_Company_research
"Hi team, Can you pull together a schedule of important dates for the escrow process on the 125 King St deal? We're especially concerned with closing due and diligence periods. Thanks!",Intent_Transaction_Date_navigator
"We have three broker sales for the 42nd St building. packages Can you give me a side-by-side summary of pricing, cap rate, and avg. PSF?",Intent_Sales_Listings_Comparison
Review about if there are any red flags this real estate company.,Intent_Company_research
"Could you the lease for the johnson abstract project (pdf attached). we require to know the base rent, commencement and expiry dates, renewal options, and escalation schedule.",Intent_Lease_Abstraction
Give what me changed between our loi and the final lease agreement.,Intent_Comparison_LOI_Lease
Please the changes from the latest amendment to summarize the original lease for the Grandview Tower property.,Intent_Amendment_Abstraction
"What are the critical dates we need to monitor for the office building acquisition? While we're at it, i'm concerned about the penalty clauses in 7 section - please review.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Analyze the warehouse lease options favorable for the most conditions.,Intent_Lease_Listings_Comparison
"Must have a timeline for all key dates in the property closing - escrow, inspections, and final walkthrough. on top of that, examine if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Investigate the track property management company's record.,Intent_Company_research
"Hi team, Can you pull together a schedule of important dates for the escrow process on the 125 King St deal? We're especially concerned with closing and due diligence periods. Thanks! And after that, check if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Could you do a background examine on wexford corp before we proceed? i'm particularly in any public disputes or bankruptcies in the past 5 years. interested,Intent_Company_research
"Give me the best lease terms among these available spaces. moreover, require due diligence the on tenant's corporate background and stability.",Intent_Lease_Listings_Comparison;Intent_Company_research
"Compare the signed lease to the especially LOI we submitted last month. I want to know what terms got changed or added, around TI allowances.",Intent_Comparison_LOI_Lease
What terms were lease added or changed during negotiations?,Intent_Comparison_LOI_Lease
I'm concerned about the 7 penalty clauses in section - please review.,Intent_Clause_Protect
"Support me organize all the transaction dates for the retail space deal in downtown. while we're at it, identify any unfavorable terms that could affect our liability exposure.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Create a summary of the warehouse lease highlighting critical terms. Furthermore, identify any unfavorable terms that could affect our liability exposure.",Intent_Lease_Abstraction;Intent_Clause_Protect
Can you create schedule a of important milestones for the real estate transaction?,Intent_Transaction_Date_navigator
Identify unfavorable terms that could any affect our liability exposure.,Intent_Clause_Protect
"Please extract all deadline dates from the purchase agreement - we need to track every step. On top of that, i'm concerned about the penalty clauses in section 7 - please review.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
I need to see all modifications from LOI to final made execution.,Intent_Comparison_LOI_Lease
"Analyze the warehouse lease options for the most favorable conditions. While we're at research it, the landlord's company - any litigation or financial issues?",Intent_Lease_Listings_Comparison;Intent_Company_research
"Please abstract the lease for the Johnson project (PDF attached). We need to know the base rent, and commencement expiry dates, renewal options, and escalation schedule. Additionally, i'm concerned about the penalty clauses in section 7 - please review.",Intent_Lease_Abstraction;Intent_Clause_Protect
Research the landlord's company - litigation or financial issues? any,Intent_Company_research
Compare the lease listings received for Midtown we West. Looking to identify which has the most favorable terms per sq ft.,Intent_Lease_Listings_Comparison
I'm concerned about the penalty clauses 7 in section - please review.,Intent_Clause_Protect
Extract the Amendment new terms from #2 to the original agreement.,Intent_Amendment_Abstraction
Need due diligence on the tenant's corporate and background stability.,Intent_Company_research
Check if any there are red flags about this real estate company.,Intent_Company_research
"Help me organize all the transaction dates for the retail space deal in downtown. Furthermore, i'm concerned about the penalty clauses in section 7 - please review.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Kindly any missing or weak indemnification clauses in flag the lease.,Intent_Clause_Protect
"I must have to see all made modifications from loi to final execution. in addition, what modifications were made in the latest lease amendment?",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
"Analyze the different sales packages for the commercial building. furthermore, require due diligence on the tenant's corporate background and stability.",Intent_Sales_Listings_Comparison;Intent_Company_research
"options, Please abstract the lease for the Johnson project (PDF attached). We need to know the base rent, commencement and expiry dates, renewal and escalation schedule.",Intent_Lease_Abstraction
"Need a side-by-side comparison of these investment opportunities. Also, investigate the property management company's track record.",Intent_Sales_Listings_Comparison;Intent_Company_research
Examine if there this are adequate tenant protections in lease agreement.,Intent_Clause_Protect
me the best lease terms among Show these available spaces.,Intent_Lease_Listings_Comparison
Summarize changed in the recent what lease amendment.,Intent_Amendment_Abstraction
"Kindly summarize the main provisions of the retail lease agreement. and liability after that, review the lease for any problematic clauses - particularly around and insurance.",Intent_Lease_Abstraction;Intent_Clause_Protect
Could you do a background check past on Wexford Corp before we proceed? I'm particularly interested in any public disputes or bankruptcies in the 5 years.,Intent_Company_research
Could you do a background check Wexford Corp before we proceed? I'm particularly interested in any on public disputes or bankruptcies in the past 5 years.,Intent_Company_research
Check if there any red flags about this real estate are company.,Intent_Company_research
"Analyze these three listings for the best investment value. While we're at it, investigate the property management company's track record.",Intent_Sales_Listings_Comparison;Intent_Company_research
"Need a timeline for all key dates in the property closing - escrow, inspections, and final walkthrough. Plus, check if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Check if there are any red flags about this real estate On company. top of that, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Company_research;Intent_Clause_Protect
"What are the critical dates we need to monitor for the office building acquisition? Furthermore, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Which of these retail spaces offers the best lease Plus, investigate the terms? property management company's track record.",Intent_Lease_Listings_Comparison;Intent_Company_research
I'm concerned about the in penalty clauses section 7 - please review.,Intent_Clause_Protect
Could you do 5 a background check on Wexford Corp before we proceed? I'm particularly interested in any public disputes or bankruptcies in the past years.,Intent_Company_research
Extract the new terms from Amendment #2 the original agreement. to,Intent_Amendment_Abstraction
"Analyze the warehouse lease options for the most favorable conditions. And that, research the development firm before we proceed with negotiations. after",Intent_Lease_Listings_Comparison;Intent_Company_research
"Need a timeline for all key dates in the property closing - escrow, inspections, and final walkthrough. Additionally, please flag any missing or weak indemnification clauses in the lease.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Research the development firm before we proceed with negotiations. On top of that, i'm concerned about the penalty clauses in section 7 - please review.",Intent_Company_research;Intent_Clause_Protect
"Check if there are any red flags about this real estate company. Moreover, please flag any missing or weak indemnification clauses in the lease.",Intent_Company_research;Intent_Clause_Protect
Review the for any problematic lease clauses - particularly around liability and insurance.,Intent_Clause_Protect
Provide me the best lease terms among these available spaces.,Intent_Lease_Listings_Comparison
Analyze the warehouse lease options for the most favorable conditions.,Intent_Lease_Listings_Comparison
"Need a timeline for all key dates in the property closing - escrow, inspections, and final walkthrough. On top of that, check if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Identify differences between the proposed and executed lease terms. Plus, compare the amendment against the base lease to show differences.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
Show me what between changed our LOI and the final lease agreement.,Intent_Comparison_LOI_Lease
"Please dates, abstract the lease for the Johnson project (PDF attached). We need to know the base rent, commencement and expiry renewal options, and escalation schedule.",Intent_Lease_Abstraction
"Help me organize the all transaction dates for the retail space deal in downtown. In addition, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Compare the three property listings - pricing, cap rates, and PSF analysis. Furthermore, research the landlord's company - any litigation or financial issues?",Intent_Sales_Listings_Comparison;Intent_Company_research
Show me what changed between our lease LOI and the final agreement.,Intent_Comparison_LOI_Lease
The display me best lease terms among these available spaces.,Intent_Lease_Listings_Comparison
"What terms were added or changed during lease negotiations? In addition, please highlight changes in the lease amendment focused on rent adjustments.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
Could you summarize the changes from the amendment to the original latest lease for the grandview tower property.,Intent_Amendment_Abstraction
"Hey, I'm reviewing the lease on the 3rd Avenue property. Can you check if there are any red flags—like indemnity clauses or unfavorable missing assignment terms?",Intent_Clause_Protect
"a side-by-side comparison of these investment opportunities. On top of that, check if there are any red flags about this real estate company. Need",Intent_Sales_Listings_Comparison;Intent_Company_research
modifications were made in the What latest lease amendment?,Intent_Amendment_Abstraction
"Examine if there are any red flags about this real estate company. and after that, i'm concerned about the penalty clauses in section 7 - kindly review.",Intent_Company_research;Intent_Clause_Protect
Review the lease for any problematic - clauses particularly around liability and insurance.,Intent_Clause_Protect
Give me what changed between loi our and the final lease agreement.,Intent_Comparison_LOI_Lease
Compare the amendment show against the base lease to differences.,Intent_Amendment_Abstraction
"Could you do a background check on Wexford Corp before we proceed? I'm particularly interested in any public disputes or bankruptcies in the past 5 years. On top of that, identify any unfavorable terms that could affect our liability exposure.",Intent_Company_research;Intent_Clause_Protect
"We have three broker sales packages for the 42nd St building. Can you give me a side-by-side of pricing, cap rate, and avg. PSF? summary",Intent_Sales_Listings_Comparison
"Assist me organize all the transaction dates for the retail space deal in downtown. also, i'm concerned about the penalty clauses in section 7 - could you review.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Kindly abstract the lease for the johnson project (pdf attached). we require to know the base rent, commencement and expiry dates, renewal options, and escalation schedule. moreover, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Lease_Abstraction;Intent_Clause_Protect
Need due diligence the tenant's corporate background and stability. on,Intent_Company_research
"We have three broker sales packages the 42nd St for building. Can you give me a side-by-side summary of pricing, cap rate, and avg. PSF?",Intent_Sales_Listings_Comparison
Review if there any red flags are about this real estate company.,Intent_Company_research
Please summarize changes from the latest amendment to the original the lease for the Grandview Tower property.,Intent_Amendment_Abstraction
"Provide me the best lease terms among these available spaces. while we're at it, require due diligence on the tenant's corporate background and stability.",Intent_Lease_Listings_Comparison;Intent_Company_research
Identify any unfavorable that could affect terms our liability exposure.,Intent_Clause_Protect
"Require a complete abstract of the office lease focusing on term and rent details. while we're at it, i'm concerned about the penalty clauses in section 7 - kindly review.",Intent_Lease_Abstraction;Intent_Clause_Protect
Research firm the development before we proceed with negotiations.,Intent_Company_research
Could you extract all deadline dates from the purchase agreement - we must have every to track step.,Intent_Transaction_Date_navigator
"Extract the key financial terms from this lease - rent, escalations, and fees. Besides that, i'm concerned about the penalty clauses in section 7 - please review.",Intent_Lease_Abstraction;Intent_Clause_Protect
"Hi team, Can you pull together a schedule of important dates for the escrow process on the 125 King St deal? We're especially concerned with closing and due diligence periods. Thanks! Moreover, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Analyze the warehouse lease options for the most favorable conditions. Besides that, research the development firm before we proceed with negotiations.",Intent_Lease_Listings_Comparison;Intent_Company_research
Can you create a schedule of important milestones for real estate transaction? the,Intent_Transaction_Date_navigator
"What terms were added changed during lease negotiations? Additionally, summarize what changed in or the recent lease amendment.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
Need a complete abstract of office lease focusing on term and rent the details.,Intent_Lease_Abstraction
"We have three broker sales packages for the St building. Can you give me a side-by-side summary of pricing, cap 42nd rate, and avg. PSF? In addition, need due diligence on the tenant's corporate background and stability.",Intent_Sales_Listings_Comparison;Intent_Company_research
Please extract all dates deadline from the purchase agreement - we need to track every step.,Intent_Transaction_Date_navigator
"Kindly extract all deadline dates from the purchase agreement - we must have to track every step. on top of that, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"What terms were added or changed during lease negotiations? And after that, please highlight changes in the lease amendment focused on rent adjustments.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
"Hi team, Can you pull together a schedule of important dates for the escrow process on the 125 King St and deal? We're especially concerned with closing due diligence periods. Thanks!",Intent_Transaction_Date_navigator
"Assist me organize all the transaction dates for the retail space deal in downtown. in addition, review if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"What terms were added or changed during lease negotiations? In addition, please highlight changes in the lease amendment focused on rent adjustments.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
Compare the lease listings we received for West. Looking to identify which has the most favorable terms per Midtown sq ft.,Intent_Lease_Listings_Comparison
Identify unfavorable terms that could affect our liability any exposure.,Intent_Clause_Protect
Review the lease any problematic clauses - particularly around liability and insurance. for,Intent_Clause_Protect
Analyze the building. different sales packages for the commercial,Intent_Sales_Listings_Comparison
"Need a complete of the office lease focusing on term and abstract rent details. Moreover, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Lease_Abstraction;Intent_Clause_Protect
"Could you abstract the lease for the johnson project (pdf attached). we must have to know the base rent, commencement and expiry dates, renewal options, and escalation schedule. besides that, identify any unfavorable terms that could affect our liability exposure.",Intent_Lease_Abstraction;Intent_Clause_Protect
Compare the amendment against the to base lease give differences.,Intent_Amendment_Abstraction
"Can you develop a schedule of important milestones for the real estate transaction? in addition, identify any unfavorable terms that could affect our liability exposure.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Analyze the warehouse options for lease the most favorable conditions.,Intent_Lease_Listings_Comparison
"Compare the negotiated lease with our original letter of intent. Furthermore, summarize what changed in the recent lease amendment.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
Compare commercial lease these opportunities - rates and concessions.,Intent_Lease_Listings_Comparison
"Hi team, Can you pull together a schedule of important dates for escrow process on the 125 King St deal? We're especially concerned with closing and due diligence the periods. Thanks!",Intent_Transaction_Date_navigator
"Need a complete abstract of the office lease focusing on term and rent details. While we're at it, identify any unfavorable terms that could affect our liability exposure.",Intent_Lease_Abstraction;Intent_Clause_Protect
Analyze the sales packages for different the commercial building.,Intent_Sales_Listings_Comparison
"Hi team, Can you pull together a schedule of important dates for the process escrow on the 125 King St deal? We're especially concerned with closing and due diligence periods. Thanks!",Intent_Transaction_Date_navigator
Analyze the different sales packages for the commercial building.,Intent_Sales_Listings_Comparison
"Research the landlord's company - any litigation or financial And issues? after that, i'm concerned about the penalty clauses in section 7 - please review.",Intent_Company_research;Intent_Clause_Protect
"Hey, if I'm reviewing the lease on the 3rd Avenue property. Can you check there are any red flags—like missing indemnity clauses or unfavorable assignment terms?",Intent_Clause_Protect
Need a complete of the office lease focusing on abstract term and rent details.,Intent_Lease_Abstraction
Can you make a schedule of important for milestones the real estate transaction?,Intent_Transaction_Date_navigator
"Compare these commercial lease opportunities - rates and concessions. Besides that, investigate the property management company's track record.",Intent_Lease_Listings_Comparison;Intent_Company_research
"Need a side-by-side comparison of these investment opportunities. Furthermore, check if there are any red flags about this real estate company.",Intent_Sales_Listings_Comparison;Intent_Company_research
"Support me organize all the transaction dates for the retail space deal in downtown. additionally, identify any unfavorable terms that could affect our liability exposure.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
I need to see all modifications made from LOI final execution. to,Intent_Comparison_LOI_Lease
review. I'm concerned about the penalty clauses in section 7 - please,Intent_Clause_Protect
"Analyze the warehouse lease options for the most favorable conditions. verify additionally, if there are any red flags about this real estate company.",Intent_Lease_Listings_Comparison;Intent_Company_research
"Examine if there are any red flags about this real estate company. plus, kindly flag any missing or weak indemnification clauses in the lease.",Intent_Company_research;Intent_Clause_Protect
"Identify differences between the proposed and executed lease terms. On of top that, what modifications were made in the latest lease amendment?",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
estate Can you create a schedule of important milestones for the real transaction?,Intent_Transaction_Date_navigator
Please extract all deadline dates from the purchase agreement we need to track every - step.,Intent_Transaction_Date_navigator
I must have to see all modifications from made loi to final execution.,Intent_Comparison_LOI_Lease
"Analyze the different sales packages for the commercial building. In research addition, the landlord's company - any litigation or financial issues?",Intent_Sales_Listings_Comparison;Intent_Company_research
"the three property listings - Compare pricing, cap rates, and PSF analysis.",Intent_Sales_Listings_Comparison
"Extract the key financial terms from this lease - rent, escalations, and fees. Plus, i'm concerned about the penalty clauses in 7 section - please review.",Intent_Lease_Abstraction;Intent_Clause_Protect
"Please extract all deadline dates from the purchase agreement - we need to track every step. Furthermore, please flag any missing or weak indemnification clauses in the lease.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Research development firm before we proceed with negotiations. the,Intent_Company_research
"Please summarize the main provisions of the retail lease agreement. While we're at it, identify any unfavorable terms that could affect our liability exposure.",Intent_Lease_Abstraction;Intent_Clause_Protect
Adjustments. kindly highlight changes in the lease amendment focused on rent,Intent_Amendment_Abstraction
Compare the lease listings we received which for Midtown West. Looking to identify has the most favorable terms per sq ft.,Intent_Lease_Listings_Comparison
"Assist me organize all the transaction dates for the retail space deal in downtown. additionally, review if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Could you extract all deadline dates from the purchase agreement every - we require to track step.,Intent_Transaction_Date_navigator
"Research the landlord's company - it, any litigation or financial issues? while we're at verify if there are adequate tenant protections in this lease agreement.",Intent_Company_research;Intent_Clause_Protect
Compare original the negotiated lease with our letter of intent.,Intent_Comparison_LOI_Lease
"Hey, i'm reviewing the lease on the 3rd avenue property. can you if there are any red flags—like missing indemnity clauses or unfavorable assignment terms? review",Intent_Clause_Protect
"Support me organize all the transaction dates for the retail space deal downtown. moreover, review the lease for any problematic clauses - particularly around in liability and insurance.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Research the landlord's company - any litigation financial or issues?,Intent_Company_research
Analyze the different packages sales for the commercial building.,Intent_Sales_Listings_Comparison
Review if there are any red flags about this real estate company.,Intent_Company_research
"Hi team, can you pull together a schedule of important dates for the escrow process on the 125 king st deal? we're especially concerned with closing and due diligence periods. thanks! furthermore, examine if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
investment Need a side-by-side comparison of these opportunities.,Intent_Sales_Listings_Comparison
Verify if there are adequate tenant agreement. protections in this lease,Intent_Clause_Protect
the property management company's Investigate track record.,Intent_Company_research
Please flag any indemnification missing or weak clauses in the lease.,Intent_Clause_Protect
Could you highlight changes in the lease amendment focused rent adjustments. on,Intent_Amendment_Abstraction
Analyze the for warehouse lease options the most favorable conditions.,Intent_Lease_Listings_Comparison
"Analyze these three listings for the best investment value. Plus, research the landlord's company - any litigation or financial issues?",Intent_Sales_Listings_Comparison;Intent_Company_research
Please extract all deadline dates from the purchase agreement we need to track - every step.,Intent_Transaction_Date_navigator
Kindly summarize changes the from the latest amendment to the original lease for the grandview tower property.,Intent_Amendment_Abstraction
"Provide me the best lease terms among these available spaces. on top of that, investigate the property management company's track record.",Intent_Lease_Listings_Comparison;Intent_Company_research
"Hi team, Can you pull together a of important dates for the escrow process on the 125 King St deal? We're especially concerned with closing and due diligence periods. schedule Thanks!",Intent_Transaction_Date_navigator
"Please extract all if deadline dates from the purchase agreement - we need to track every step. Besides that, check there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Help me organize the transaction dates for the retail space deal all in downtown.,Intent_Transaction_Date_navigator
"Help me organize all the transaction dates for the retail space deal in downtown. Also, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Help me dates organize all the transaction for the retail space deal in downtown.,Intent_Transaction_Date_navigator
You could do a background verify on wexford corp before we proceed? i'm particularly interested in any public disputes or bankruptcies in the past 5 years.,Intent_Company_research
"Help me organize all the transaction dates for the retail space deal in downtown. While we're at it, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Investigate the property management company's track record. and after that, could you flag any missing or weak indemnification clauses in the lease.",Intent_Company_research;Intent_Clause_Protect
"Show me the best lease terms among these available spaces. Furthermore, check if there are any red flags about this real estate company.",Intent_Lease_Listings_Comparison;Intent_Company_research
Compare the listings we received for Midtown West. Looking to identify lease which has the most favorable terms per sq ft.,Intent_Lease_Listings_Comparison
"What are the critical dates we need to monitor for the office building acquisition? Moreover, identify any unfavorable terms that could affect our liability exposure.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Compare the signed lease to the LOI we submitted last month. I want to know what terms got changed or added, especially around TI allowances. Furthermore, please highlight changes in the lease amendment focused on rent adjustments.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
"Identify differences between the proposed and executed lease terms. Moreover, extract the new terms from amendment #2 to the original agreement.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
"Need a timeline for all key dates in property the closing - escrow, inspections, and final walkthrough. Plus, check if there are adequate tenant protections in this lease agreement.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
I need to see all LOI modifications made from to final execution.,Intent_Comparison_LOI_Lease
"Can you generate a schedule of important milestones for the real estate transaction? and after that, identify any unfavorable terms that could affect our liability exposure.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Extract the financial key terms from this lease - rent, escalations, and fees. Besides that, please flag any missing or weak indemnification clauses in the lease.",Intent_Lease_Abstraction;Intent_Clause_Protect
"Help me organize all the transaction dates for the retail space in deal downtown. In addition, please flag any missing or weak indemnification clauses in the lease.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
Verify if agreement. there are adequate tenant protections in this lease,Intent_Clause_Protect
"Compare available office rates spaces - and lease terms analysis. Moreover, check if there are any red flags about this real estate company.",Intent_Lease_Listings_Comparison;Intent_Company_research
Please summarize the changes from the amendment to the original lease for the latest Grandview Tower property.,Intent_Amendment_Abstraction
"you create Can a schedule of important milestones for the real estate transaction? Additionally, identify any unfavorable terms that could affect our liability exposure.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Check if there are any red flags about this real estate company. Besides that, please flag any missing or weak indemnification clauses in the lease.",Intent_Company_research;Intent_Clause_Protect
Require diligence on the due tenant's corporate background and stability.,Intent_Company_research
Show me the best terms among these available lease spaces.,Intent_Lease_Listings_Comparison
"Hey, I'm reviewing the lease on the 3rd Avenue property. Can you check if there are any red flags—like missing indemnity clauses or assignment terms? unfavorable",Intent_Clause_Protect
"Must have a timeline for all key inspections, dates in the property closing - escrow, and final walkthrough.",Intent_Transaction_Date_navigator
"Please abstract the lease for the Johnson project (PDF attached). We need to know the base rent, commencement and expiry dates, renewal options, and escalation schedule. While we're at it, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Lease_Abstraction;Intent_Clause_Protect
"I require to see all modifications made from loi to final execution. in addition, extract the new terms from amendment #2 to the original agreement.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
"We have three broker sales packages for the 42nd St building. Can you give me a side-by-side summary of pricing, rate, and avg. cap PSF?",Intent_Sales_Listings_Comparison
Show me the terms best lease among these available spaces.,Intent_Lease_Listings_Comparison
